T	I	Q
927	0.03154220768424348	0.016132766242617072
928	0.031225573713715857	0.016308717798737053
929	0.03092513898168909	0.016468124058686227
930	0.03077253775827121	0.016689442844052247
931	0.030502838985978453	0.01668163167264429
932	0.03020629262078437	0.016876524131804762
933	0.02990826235588029	0.0169767188621845
934	0.029532354835825392	0.017150838084438146
935	0.029300055832149518	0.01730437408959333
936	0.029074709173411248	0.0173547225523871
937	0.028709285130011267	0.01743984464011082
938	0.028445796752801105	0.017558810612987873
939	0.028203474556176663	0.017564823382638133
940	0.02782615183547241	0.017734327838117316
941	0.02755007092044543	0.01779287429835749
942	0.027174534375318034	0.017917330486411812
943	0.026852074724447447	0.01797739710511887
944	0.026618037634537177	0.018028240976698726
945	0.02623178403594866	0.01813363410612146
946	0.025845976981254352	0.01817535702690002
947	0.025627445269332385	0.01821466398154371
948	0.025246653246065398	0.018204606504544064
949	0.02482305483810851	0.018287889471979724
950	0.0245196591765678	0.018346076251868362
951	0.02408950000831901	0.018376506566892933
952	0.023857386492106888	0.01838889857296672
953	0.023480943119378934	0.018417788370259223
954	0.02311158261980381	0.018421432678726705
955	0.022811360854865053	0.01841395404198338
956	0.022344660656257474	0.018408423108275746
957	0.02204799750266029	0.018459470572507415
958	0.02158935570386675	0.018485021450310158
959	0.021329886221704508	0.018442463799659164
960	0.02083251876242357	0.018421561620739522
961	0.02057280883354906	0.018405274208594346
962	0.02007078357795617	0.018398861040062185
963	0.01982918272146853	0.018366774838136188
964	0.019396440468539368	0.018346897408897347
965	0.019106571652040293	0.018261727816221537
966	0.018639837103902393	0.018239990907429456
967	0.018301631628331233	0.018206900315087843
968	0.017818079550146648	0.018152262833762506
969	0.017154240527102956	0.01814220535676286
970	0.017128498989078072	0.018040748351941874
971	0.016723153921535415	0.017972965571731038
972	0.01641049075671326	0.017905983589284004
973	0.01620098610136047	0.017799715011458467
974	0.01593978540286989	0.01768708755647458
975	0.015360205777711236	0.017655863230107934
976	0.01522650366587768	0.017542224598286704
977	0.014955472131808346	0.017480916064403572
978	0.014517391961866815	0.017401535289461027
979	0.014291330832897802	0.01729363797042097
980	0.014275516309136583	0.01711691954864582
981	0.014135294656447514	0.01701124817593227
982	0.014034348256731027	0.016870477430045865
983	0.013875570987760875	0.01673694779614234
984	0.01410771885350332	0.01657919742309459
985	0.013750064673862653	0.016477116067474706
986	0.013927473128080601	0.016342330945551656
987	0.013948756097069418	0.01624576695079595
988	0.014186173180763581	0.01605886211000834
989	0.014422346811460011	0.015902774410283746
990	0.014678800404859794	0.015831740934065603
991	0.01513272944809287	0.015695578168531937
992	0.015417315306828095	0.015596123158120463
993	0.015939345728881744	0.015510749972792837
994	0.016264450293587286	0.015447371580282926
995	0.016737333407653203	0.015388621527390933
996	0.017113089789774678	0.015452027065587754
997	0.017393004112385823	0.015458467379806825
998	0.01745117160703667	0.015529175107782065
999	0.017578903770499893	0.015558770692934196
1000	0.017461840571155334	0.015644299965961544
1001	0.017290979137417162	0.015673603734979405
1002	0.016995566306723775	0.015785410032934304
1003	0.016619796184790175	0.01582653574860087
1004	0.016156977483109222	0.015910823106452154
1005	0.015547417587883684	0.015970679346085672
1006	0.014909148355213255	0.01603666372453881
1007	0.014309378076130088	0.016046008627257108
1008	0.013400221577417687	0.016112664861461234
1009	0.012714508773463603	0.016120007769770017
1010	0.011880220511045626	0.016149331898053062
1011	0.010875510488877626	0.016098060481904396
1012	0.009994651133246225	0.0161116808303108
1013	0.009174604186100624	0.016045893258087744
1014	0.00808435696351953	0.0159821823309132
1015	0.007406146096988232	0.01587199798775109
1016	0.006437159586357302	0.01576316414251269
1017	0.005816113208191382	0.015629505566596345
1018	0.004720864693995099	0.015558791052199376
1019	0.004088496710634354	0.015384244285376917
1020	0.0031742702212461155	0.015218302701304491
1021	0.002289776685306424	0.015031099257960886
1022	0.0018137677639810136	0.014846610383308144
1023	0.0007622942912297731	0.014684638855946106
1024	0.0003251827780433814	0.01443860392264978
1025	-0.0005020363510338939	0.014252282714130706
1026	-0.0008626858097188233	0.013989553183385578
1027	-0.0015782346157124265	0.013725507086825382
1028	-0.0019500133222223666	0.013466788331321004
1029	-0.0025316333094822768	0.013245951381897611
1030	-0.002803344964252028	0.013005454168730649
1031	-0.0036016211790782108	0.012745289905398386
1032	-0.003574959073640639	0.012462689731836145
1033	-0.0044479317771096245	0.012168220106673107
1034	-0.004380682266641088	0.011892643879598472
1035	-0.004690961574058747	0.011611706379359384
1036	-0.004956229256939696	0.011324572876083404
1037	-0.005408976676329621	0.010995994695319677
1038	-0.00549520773725526	0.010716244818882842
1039	-0.00579772405081967	0.010444136453310784
1040	-0.005928609501166648	0.010124115950345004
1041	-0.005988247155715362	0.009823905012400791
1042	-0.006127349013715866	0.009541148751138826
1043	-0.006245744974836999	0.009251830020066699
1044	-0.00620719106200122	0.008925206328760395
1045	-0.006818928717449308	0.008499052976403618
1046	-0.006554224366865674	0.008242078331283119
1047	-0.006602128221855673	0.007903490178471839
1048	-0.006483663561673893	0.007596676052187104
1049	-0.006312211316014145	0.007351584431510855
1050	-0.0062208003459156315	0.006994978329013975
1051	-0.006117827323910024	0.006746873537090869
1052	-0.006066564084854326	0.006454928460810334
1053	-0.005963357486042514	0.006140791785481997
1054	-0.005858543329211534	0.005785637977234728
1055	-0.0058317575654647956	0.005458613887046522
1056	-0.00556538382770741	0.005127375428965752
1057	-0.00551190847889884	0.004789045160180103
1058	-0.005234123827167787	0.004522576311063313
1059	-0.0050036659583172875	0.004259541391340463
1060	-0.0047130620618692776	0.0039732561907803755
1061	-0.004663976583036128	0.003636622527426516
1062	-0.004157815643992217	0.003555796244656085
1063	-0.003954377115694661	0.003244279128114431
1064	-0.0037658806330880907	0.0028335988172955694
1065	-0.0034682282130175735	0.0025791690803227537
